ax,ay,az,gx,gy,gz,thr,as,vz,alt,roll,pitch,label
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,1.0898,0.0100,-0.1090,0.0759,0.0632,0
0.0000,0.0000,-9.8100,0.0010,0.0010,0.0010,0.0000,0.6722,0.0100,-0.1110,0.0756,0.0634,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.7663,0.0100,-0.1090,0.0755,0.0635,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.2304,0.0100,-0.1080,0.0753,0.0634,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.1584,0.0100,-0.1130,0.0752,0.0634,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.2608,0.0100,-0.1180,0.0754,0.0636,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.5787,0.0100,-0.1270,0.0754,0.0638,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.8636,0.0100,-0.1380,0.0755,0.0640,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.6431,0.0100,-0.1470,0.0759,0.0636,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.5572,0.0100,-0.1540,0.0761,0.0636,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.2963,0.0100,-0.1610,0.0762,0.0639,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.6589,0.0100,-0.1670,0.0757,0.0638,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.3613,0.0100,-0.1180,0.0754,0.0639,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.5278,0.0100,-0.0530,0.0756,0.0638,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.3541,0.0100,-0.0200,0.0754,0.0637,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.5414,0.0100,-0.0030,0.0757,0.0638,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.7126,0.0100,0.0050,0.0756,0.0639,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.4140,0.0000,0.0110,0.0757,0.0636,0
